"matrix","landscape","latitude","longitude","forest","pasture","coffee","eucalyptus","sugarcane","urban","water","other"
"high_quality","P02",-21.901802,-46.716789,44.7701003805049,35.5193828126207,16.3948539347559,0,0.143614127416913,1.32889210156382,0.182671745335151,1.6604848978026
"high_quality","P09",-21.638259,-46.530734,11.9909231422749,49.4968405482393,17.2730777759575,0.5068820156133,0,4.96136573097116,12.7017477960463,3.06916299089762
"high_quality","P10",-21.776367,-46.457749,28.0288486446869,30.9298799382308,31.8958929490792,3.58640996228502,0,2.00478326521238,0.161244396371667,3.39294084413397
"high_quality","P11",-21.423097,-46.706878,37.2403708138885,22.8342071389857,20.2490489234369,0.283745716819981,17.4896381123498,1.19945954979087,0.70352974472827,0
"high_quality","P12",-21.488104,-46.712487,29.956055418673,30.6728025722895,12.3523545115008,0.0020629728654854,20.5587630577803,5.50289608181883,0.131346972730711,0.823718412341433
"high_quality","P19",-21.337593,-46.671927,55.516414153199,20.4173406238402,18.2621464745495,0,3.60815171404866,0.815307276337719,0.0158271853538663,1.36481257267098
"high_quality","P26",-21.693359,-46.534688,21.8470332169237,46.7013709041002,18.7321791738854,0.454568758205787,0,1.7740530199809,9.33014794824885,1.16064697865511
"high_quality","P27",-21.8006,-46.672607,24.6741848010952,34.8974166639955,26.68190471288,10.1315081848544,0,1.17298662484682,0.381829073821982,2.06016993850613
"high_quality","P28",-21.730756,-46.478609,29.9545061595646,34.4602683519328,32.8804695432484,0,0,1.14954325041141,0.961331437720442,0.593881257122381
"high_quality","P30",-21.701218,-46.607925,23.7529671238728,48.8034639780036,22.5253442269427,0.936283460966707,0,1.43140031902605,0.21452495960667,2.33601593158159
"low_quality",148,-23.241942,-46.344121,35.5015095604649,34.0808212699482,0,23.3279818978927,0,6.3710106465193,0.121734695510393,0.596941929664512
"low_quality",215,-23.133404,-46.420411,30.3158480790115,44.0912360114303,0,13.6217408450018,0,11.4474699013873,0.52370516316918,0
"low_quality",220,-23.13547,-46.2257,29.1482799609368,45.7086459743636,0,21.7472922810594,0,3.17466830251809,0.199316339671857,0.0217971414502162
"low_quality",263,-23.062631,-46.342105,6.87554469751089,55.8494064941842,0,10.7029010267983,0,26.5721477815065,0,0
"low_quality",266,-23.063481,-46.225528,26.8464209028559,44.7849578262941,0,27.0631932093228,0,1.27232824235944,0.0330998191677406,0
"low_quality",282,-23.025937,-46.497351,14.6533091172166,48.0055117315975,0,16.854965862504,0,17.086334351383,0.633308241441387,2.7665706958575
"low_quality",291,-23.064117,-46.160696,46.0140718261729,43.017417336301,0,10.1691524964239,0,0.67499336752284,0.1243649735794,0
"low_quality",317,-22.988972,-46.036239,41.8729756370718,32.2525732723434,0,22.0289714553393,0,3.75668195760657,0.0887976776388608,0
"low_quality",329,-22.953238,-46.458123,18.1071891334743,44.7799079784076,0,14.5900103934203,0,8.30085346816911,6.20523320808884,8.0168058184398
"low_quality",333,-22.949697,-46.292917,9.29320900955352,69.1082536987084,0,4.27612992895785,0,9.23940677943604,3.59733457626642,4.48566600707777
"low_quality",335,-22.955152,-46.223854,29.5706295099601,31.6593268527154,0,37.6829880001657,0,1.08705563715877,0,0
"low_quality",359,-22.919197,-46.185164,17.436052262802,57.9769953880249,0,20.7002892106443,0,3.777168488662,0.109494649866759,0
"low_quality",399,-22.845706,-46.417228,23.071816685,58.7109273541904,0,12.1093780623989,0,3.24694659090359,0.232229205186082,2.62870210232108
